Date,Time,Temperature,Humidity
07/04/2019,20:46,34.1,35.3
07/04/2019,20:46,34.2,36
07/04/2019,20:46,34.1,35.9
07/04/2019,20:47,34.2,35.9
07/04/2019,20:48,34.2,35.8
07/04/2019,20:49,34.2,35.5
07/04/2019,20:50,34,35
07/04/2019,20:51,34.1,35.2
07/04/2019,20:52,34.1,34.3
07/04/2019,20:53,33.8,33.9
07/04/2019,20:54,33.7,34.4
07/04/2019,20:55,33.8,34.2
07/04/2019,20:56,33.7,34.3
07/04/2019,20:57,33.7,35.4
07/04/2019,20:58,33.6,34.4
07/04/2019,20:59,33.5,34
07/04/2019,21:00,33.5,34.2
07/04/2019,21:01,33.5,34.2
07/04/2019,21:02,33.4,34.4
07/04/2019,21:03,33.6,34.8
07/04/2019,21:04,33.6,34.4
07/04/2019,21:05,33.6,36.3
07/04/2019,21:06,33.5,35
07/04/2019,21:07,33.5,33.9
07/04/2019,21:08,33.3,34.8
07/04/2019,21:09,33.3,34.8
07/04/2019,21:10,33.4,34.5
07/04/2019,21:11,33.4,34.7
07/04/2019,21:12,33.4,34.5
07/04/2019,21:13,33.4,34.8
07/04/2019,21:14,33.5,35.5
07/04/2019,21:15,33.5,34.8
07/04/2019,21:16,33.4,34.9
07/04/2019,21:17,33.3,34.4
07/04/2019,21:18,33.4,34.8
07/04/2019,21:19,33.4,34.8
07/04/2019,21:20,33.5,35.5
07/04/2019,21:21,33.3,36
07/04/2019,21:22,33,36.1
07/04/2019,21:23,32.9,36.3
07/04/2019,21:24,32.8,36.8
07/04/2019,21:25,32.8,36.9
07/04/2019,21:26,33,37
07/04/2019,21:27,32.8,36.8
07/04/2019,21:28,32.7,36.5
07/04/2019,21:29,32.6,36.8
07/04/2019,21:30,32.6,37.3
07/04/2019,21:31,32.5,38.7
07/04/2019,21:32,32.4,38.2
07/04/2019,21:33,32.6,37.4
07/04/2019,21:34,32.5,37.1
07/04/2019,21:35,32.6,37.3
07/04/2019,21:36,32.7,37.3
07/04/2019,21:37,32.6,37.6
07/04/2019,21:38,32.5,37.7
07/04/2019,21:39,32.6,37.7
07/04/2019,21:40,32.5,37.5
07/04/2019,21:41,32.7,37.7
07/04/2019,21:42,32.4,37.5
07/04/2019,21:43,32.4,37.5
07/04/2019,21:44,32.6,37.8
07/04/2019,21:45,32.7,37.9
07/04/2019,21:46,32.6,37.6
07/04/2019,21:47,32.6,37.6
07/04/2019,21:48,32.8,37.5
07/04/2019,21:49,32.7,37.7
07/04/2019,21:50,32.8,38.4
07/04/2019,21:51,32.8,38.5
07/04/2019,21:52,32.8,36.3
07/04/2019,21:53,32.7,37.5
07/04/2019,21:54,32.7,38
07/04/2019,21:55,32.7,38.4
07/04/2019,21:56,32.7,37.7
07/04/2019,21:57,32.7,37.7
07/04/2019,21:58,32.9,38.1
07/04/2019,21:59,32.9,38.5
07/04/2019,22:00,32.9,36.4
07/04/2019,22:01,33,37.7
07/04/2019,22:02,32.8,37.9
07/04/2019,22:03,32.9,38.2
07/04/2019,22:04,32.7,38.2
07/04/2019,22:05,32.7,38.1
07/04/2019,22:06,32.5,38
07/04/2019,22:07,32.5,38
07/04/2019,22:08,32.6,38
07/04/2019,22:09,32.6,37.8
07/04/2019,22:10,32.5,38
07/04/2019,22:11,32.4,38.4
07/04/2019,22:12,32.5,37.7
07/04/2019,22:13,32.5,37.8
07/04/2019,22:14,32.4,38
07/04/2019,22:15,32.4,37.7
07/04/2019,22:16,32.3,37.7
07/04/2019,22:17,32.3,37.8
07/04/2019,22:18,32.4,37.1
07/04/2019,22:19,32.1,37.5
